,background,body,spikes,roar,eyes,hats,elements
0,background-purple2,body-pink,spikes,roar-tongue2,eyes-glasses3,elements-bluehat,elements-planet
1,background-red2,body-pink2,spikes,roar-rainbow,eyes-3,elements-flower1,elements-planet
2,background-themed,body-pink,spikes,roar-pink,eyes-glasses6,elements-flower1,elements-firetail
3,background-orange,body-orange,spikes,roar-mask,eyes-1,elements-horn,elements-firetail
4,background-lines,body-pink,spikes,roar-yellow,eyes-glasses3,elements-bluehat,elements-firetail
5,background-lines,body-cyan,spikes,roar-blue3,eyes-2,elements-greenhat,elements-planet
6,background-pink2,body-pink,spikes,roar-tongue,eyes-tear,elements-crown,elements-planet
7,background-blue,body-pink,spikes,roar-tongue2,eyes-1,elements-halo,elements-flower
8,background-blue,body-green,spikes,roar-blue2,eyes-2,elements-greenhat,elements-flower
9,background-green,body-pink,spikes,roar-blue3,eyes-2,elements-crown,elements-planet
10,background-yellow,body-pink,spikes,roar-green,eyes-glasses1,elements-flower1,elements-flower
11,background-blue,body-red,spikes,roar-blue,eyes-glasses2,elements-crown,elements-flower
12,background-orange,body-pink2,spikes,roar-rainbow,eyes-3,elements-horn,elements-firetail
13,background-purple2,body-yellow,spikes,roar-green,eyes-glasses1,elements-bluehat,elements-flower
14,background-pink,body-pink,spikes,roar-yellow,eyes-glasses6,elements-halo,elements-firetail
15,background-blue,body-orange,spikes,roar-tongue2,eyes-glasses7,elements-crown,elements-firetail
16,background-pink,body-purple,spikes,roar-rainbow,eyes-2,elements-halo,elements-flower
17,background-yellow,body-cyan,spikes,roar-flowers,eyes-3,elements-crown,elements-planet
18,background-pink2,body-pink2,spikes,roar-yellow,eyes-glasses1,elements-bluehat,elements-flower
19,background-pink,body-blue,spikes,roar-tongue,eyes-glasses3,elements-flower1,elements-firetail
20,background-purple2,body-pink,spikes,roar-green,eyes-glasses4,elements-halo,elements-planet
21,background-fgdarkblue,body-yellow,spikes,roar-mask,eyes-glasses6,elements-horn,elements-planet
22,background-pink2,body-green,spikes,roar-rainbow,eyes-glasses5,elements-crown,elements-planet
23,background-fgdarkblue,body-green,spikes,roar-pink,eyes-1,elements-bluehat,elements-planet
24,background-blue,body-yellow,spikes,roar-fire,eyes-3,elements-flower1,elements-firetail
25,background-cyan,body-blue,spikes,roar-purple,eyes-1,elements-halo,elements-firetail
26,background-fgdarkblue,body-cyan,spikes,roar-tongue2,eyes-glasses4,elements-flower1,elements-planet
27,background-pink,body-purple,spikes,roar-blue3,eyes-glasses3,elements-bluehat,elements-firetail
28,background-fgdarkblue,body-red,spikes,roar-flowers,eyes-glasses1,elements-greenhat,elements-flower
29,background-cyan,body-green,spikes,roar-blue2,eyes-glasses7,elements-halo,elements-firetail
30,background-orange,body-green,spikes,roar-flowers,eyes-2,elements-horn,elements-planet
31,background-fgdarkblue,body-pink2,spikes,roar-yellow,eyes-1,elements-horn,elements-firetail
32,background-lines,body-cyan,spikes,roar-green,eyes-glasses1,elements-crown,elements-flower
33,background-pink,body-yellow,spikes,roar-blue,eyes-glasses3,elements-halo,elements-firetail
34,background-pink2,body-pink,spikes,roar-rainbow,eyes-glasses3,elements-bluehat,elements-firetail
35,background-purple2,body-orange,spikes,roar-blue2,eyes-tear,elements-flower1,elements-firetail
36,background-green,body-blue,spikes,roar-flowers,eyes-1,elements-flower1,elements-flower
37,background-sun,body-purple,spikes,roar-flowers,eyes-3,elements-horn,elements-planet
38,background-pink2,body-pink,spikes,roar-mask,eyes-glasses4,elements-horn,elements-planet
39,background-lines,body-cyan,spikes,roar-blue,eyes-glasses5,elements-greenhat,elements-planet
40,background-pink,body-orange,spikes,roar-blue,eyes-glasses3,elements-flower1,elements-planet
41,background-yellow,body-orange,spikes,roar-fire,eyes-glasses7,elements-flower1,elements-planet
42,background-yellow,body-red,spikes,roar-purple,eyes-1,elements-bluehat,elements-firetail
43,background-green,body-yellow,spikes,roar-yellow,eyes-2,elements-flower1,elements-planet
44,background-pink2,body-green,spikes,roar-mask,eyes-glasses6,elements-greenhat,elements-planet
45,background-fgdarkblue,body-orange,spikes,roar-rainbow,eyes-glasses7,elements-horn,elements-firetail
46,background-red2,body-yellow,spikes,roar-yellow,eyes-1,elements-flower1,elements-flower
47,background-cloud,body-yellow,spikes,roar-tongue,eyes-glasses6,elements-crown,elements-planet
48,background-orange,body-pink2,spikes,roar-tongue,eyes-glasses1,elements-horn,elements-firetail
49,background-yellow,body-red,spikes,roar-purple,eyes-3,elements-crown,elements-planet
50,background-blue,body-pink,spikes,roar-tongue2,eyes-glasses5,elements-horn,elements-planet
51,background-cloud,body-green,spikes,roar-tongue,eyes-3,elements-horn,elements-firetail
52,background-red2,body-pink2,spikes,roar-drool,eyes-glasses1,elements-bluehat,elements-planet
53,background-pink2,body-blue,spikes,roar-tongue2,eyes-1,elements-halo,elements-planet
54,background-green,body-yellow,spikes,roar-purple,eyes-glasses4,elements-greenhat,elements-firetail
55,background-yellow,body-blue,spikes,roar-fire,eyes-glasses3,elements-bluehat,elements-firetail
56,background-pink2,body-cyan,spikes,roar-flowers,eyes-glasses5,elements-crown,elements-flower
57,background-sun,body-cyan,spikes,roar-rainbow,eyes-glasses7,elements-bluehat,elements-firetail
58,background-cyan,body-blue,spikes,roar-mask,eyes-glasses4,elements-flower1,elements-planet
59,background-yellow,body-purple,spikes,roar-yellow,eyes-glasses3,elements-crown,elements-planet
60,background-blue,body-pink2,spikes,roar-drool,eyes-1,elements-bluehat,elements-planet
61,background-sun,body-purple,spikes,roar-green,eyes-tear,elements-crown,elements-flower
62,background-cyan,body-green,spikes,roar-flowers,eyes-glasses5,elements-crown,elements-flower
63,background-pink2,body-purple,spikes,roar-blue3,eyes-2,elements-flower1,elements-firetail
64,background-orange,body-pink,spikes,roar-tongue,eyes-tear,elements-bluehat,elements-planet
65,background-lines,body-pink2,spikes,roar-flowers,eyes-1,elements-bluehat,elements-planet
66,background-orange,body-green,spikes,roar-blue,eyes-glasses5,elements-bluehat,elements-firetail
67,background-yellow,body-orange,spikes,roar-green,eyes-glasses1,elements-halo,elements-planet
68,background-red2,body-pink,spikes,roar-blue2,eyes-1,elements-bluehat,elements-planet
69,background-red2,body-orange,spikes,roar-rainbow,eyes-1,elements-bluehat,elements-firetail
70,background-green,body-blue,spikes,roar-yellow,eyes-glasses2,elements-halo,elements-firetail
71,background-yellow,body-purple,spikes,roar-blue3,eyes-glasses7,elements-halo,elements-planet
72,background-green,body-orange,spikes,roar-blue2,eyes-tear,elements-horn,elements-firetail
